ADAMTS17,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
MALAT1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CD247,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
VCAN,17,18,20,18,20,20,16,20,20,16,20,16,20,18,20,20,20,17,17,16,17,20,17,20,20,16,16,18,16,20
GNLY,8,8,9,8,9,9,8,9,9,8,9,8,9,8,9,9,9,8,8,8,8,9,8,9,9,8,8,8,8,9
APOA1,15,16,17,16,17,17,15,17,17,15,17,15,17,16,17,17,16,15,15,15,15,17,15,17,17,15,15,16,15,17
MCTP2,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
TCF7L2,1,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,3,1,1,1,1,3,1,3,3,1,1,1,1,3
SLC4A10,25,23,28,28,27,28,24,27,28,24,27,23,29,27,27,25,28,24,25,24,27,28,25,27,27,25,24,27,24,27
PRKCH,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
NCAM1,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
NKG7,8,8,9,8,9,9,8,9,9,8,9,8,9,8,9,9,9,8,8,8,8,9,8,9,9,8,8,8,8,9
TOX2,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
RAP1GAP2,8,8,9,8,9,9,8,9,9,8,9,8,9,8,9,9,9,8,8,8,8,9,8,9,9,8,8,8,8,9
IL7R,9,9,10,9,10,10,9,10,10,9,10,9,10,9,10,10,10,9,9,9,9,10,9,10,10,9,9,9,9,10
THEMIS,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
B2M,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
KCNMA1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
